chamber,state,party,incumbent,termstart,bioguide,GDP,Annual GPD Percent Change,working age,65 and Older,First Term,Age First Term
house,SC,D,No,1961,R000259,563.3,7.4,0.36,9.23,1961,67.5
house,PA,R,No,1961,G000290,563.3,7.4,0.36,9.23,1961,64.3
house,OH,R,No,1961,M000927,563.3,7.4,0.36,9.23,1961,62.7
house,TN,R,No,1961,R000109,563.3,7.4,0.36,9.23,1961,62.2
house,OR,R,No,1961,D000575,563.3,7.4,0.36,9.23,1961,61.9
house,AR,D,No,1961,N000136,563.3,7.4,0.36,9.23,1961,59.8
house,NY,R,No,1961,K000195,563.3,7.4,0.36,9.23,1961,56.6
house,IL,D,No,1961,F000135,563.3,7.4,0.36,9.23,1961,55.6
house,WI,R,No,1961,T000233,563.3,7.4,0.36,9.23,1961,55.2
house,ND,R,No,1961,N000178,563.3,7.4,0.36,9.23,1961,54.8
house,UT,D,No,1961,P000264,563.3,7.4,0.36,9.23,1961,54.8
house,OH,R,No,1961,M001031,563.3,7.4,0.36,9.23,1961,54.7
house,SD,R,No,1961,R000152,563.3,7.4,0.36,9.23,1961,54.3
house,NE,R,No,1961,M000175,563.3,7.4,0.36,9.23,1961,53.5
house,MO,R,No,1961,H000049,563.3,7.4,0.36,9.23,1961,50.3
house,MI,D,No,1961,R000556,563.3,7.4,0.36,9.23,1961,49.9
house,KS,R,No,1961,S000388,563.3,7.4,0.36,9.23,1961,48.5
house,NE,R,No,1961,B000310,563.3,7.4,0.36,9.23,1961,48.4
house,TX,D,No,1961,R000312,563.3,7.4,0.36,9.23,1961,47.8
house,VT,R,No,1961,S000776,563.3,7.4,0.36,9.23,1961,47.4
house,GA,D,No,1961,S000860,563.3,7.4,0.36,9.23,1961,47.4
house,WI,R,No,1961,S000108,563.3,7.4,0.36,9.23,1961,47.2
house,CA,R,No,1961,B000330,563.3,7.4,0.36,9.23,1961,46.3
house,CO,R,No,1961,D000409,563.3,7.4,0.36,9.23,1961,45.5
house,NJ,D,No,1961,J000108,563.3,7.4,0.36,9.23,1961,44.9
house,TX,D,No,1961,G000272,563.3,7.4,0.36,9.23,1961,44.7
house,GA,D,No,1961,H000010,563.3,7.4,0.36,9.23,1961,44.6
house,GA,D,No,1961,D000122,563.3,7.4,0.36,9.23,1961,44.3
house,MT,D,No,1961,O000083,563.3,7.4,0.36,9.23,1961,44
house,PA,R,No,1961,S000193,563.3,7.4,0.36,9.23,1961,43.5
house,IN,R,No,1961,R000464,563.3,7.4,0.36,9.23,1961,43
house,LA,D,No,1961,W000018,563.3,7.4,0.36,9.23,1961,42.3
house,NY,D,No,1961,C000143,563.3,7.4,0.36,9.23,1961,41.7
house,TX,D,No,1961,P000569,563.3,7.4,0.36,9.23,1961,41.7
house,IA,R,No,1961,B000867,563.3,7.4,0.36,9.23,1961,40.8
house,CA,D,No,1961,C000780,563.3,7.4,0.36,9.23,1961,40.2
house,OH,R,No,1961,H000281,563.3,7.4,0.36,9.23,1961,40
house,ME,R,No,1961,T000411,563.3,7.4,0.36,9.23,1961,39.9
house,CT,R,No,1961,S000395,563.3,7.4,0.36,9.23,1961,39.7
house,NC,D,No,1961,H000479,563.3,7.4,0.36,9.23,1961,39.7
house,IN,R,No,1961,B000969,563.3,7.4,0.36,9.23,1961,39.7
house,IL,R,No,1961,F000123,563.3,7.4,0.36,9.23,1961,39.5
house,OH,R,No,1961,C000409,563.3,7.4,0.36,9.23,1961,39.4
house,MA,R,No,1961,M001009,563.3,7.4,0.36,9.23,1961,39.4
house,NY,D,No,1961,P000348,563.3,7.4,0.36,9.23,1961,39.3
house,IL,R,No,1961,A000195,563.3,7.4,0.36,9.23,1961,38.9
house,KS,R,No,1961,M000608,563.3,7.4,0.36,9.23,1961,38.9
house,AZ,D,No,1961,U000001,563.3,7.4,0.36,9.23,1961,38.6
house,NY,D,No,1961,R000562,563.3,7.4,0.36,9.23,1961,38.5
house,MI,R,No,1961,H000306,563.3,7.4,0.36,9.23,1961,38.5
house,MN,R,No,1961,M000010,563.3,7.4,0.36,9.23,1961,38.5
house,MD,R,No,1961,M000241,563.3,7.4,0.36,9.23,1961,38.4
house,NY,D,No,1961,R000442,563.3,7.4,0.36,9.23,1961,37.6
house,ME,R,No,1961,G000069,563.3,7.4,0.36,9.23,1961,37.6
house,KS,R,No,1961,D000401,563.3,7.4,0.36,9.23,1961,37.5
house,NC,D,No,1961,K000318,563.3,7.4,0.36,9.23,1961,36.8
house,MT,R,No,1961,B000241,563.3,7.4,0.36,9.23,1961,35.9
house,NY,D,No,1961,A000052,563.3,7.4,0.36,9.23,1961,35.8
house,MI,D,No,1961,N000019,563.3,7.4,0.36,9.23,1961,35.6
house,PA,R,No,1961,S000159,563.3,7.4,0.36,9.23,1961,34.6
house,KS,R,No,1961,E000148,563.3,7.4,0.36,9.23,1961,34.6
house,MO,D,No,1961,I000001,563.3,7.4,0.36,9.23,1961,34.5
house,CA,R,No,1961,R000469,563.3,7.4,0.36,9.23,1961,33.2
house,RI,D,No,1961,S000762,563.3,7.4,0.36,9.23,1961,33
house,OH,R,No,1961,A000221,563.3,7.4,0.36,9.23,1961,32.3
house,ID,D,No,1961,H000191,563.3,7.4,0.36,9.23,1961,31.3
senate,WY,R,No,1961,S000434,563.3,7.4,0.36,9.23,1961,63.1
senate,ID,R,No,1961,J000269,563.3,7.4,0.36,9.23,1961,61.6
senate,SD,R,No,1961,B000656,563.3,7.4,0.36,9.23,1961,57.4
senate,WY,D,No,1961,H000561,563.3,7.4,0.36,9.23,1961,49.4
senate,NM,R,No,1961,M000623,563.3,7.4,0.36,9.23,1961,48.5
senate,NH,D,No,1961,M000486,563.3,7.4,0.36,9.23,1961,45.9
senate,IA,R,No,1961,M000730,563.3,7.4,0.36,9.23,1961,44.6
senate,RI,D,No,1961,P000193,563.3,7.4,0.36,9.23,1961,42.1
senate,KS,R,No,1961,P000166,563.3,7.4,0.36,9.23,1961,40.7
senate,TX,R,No,1961,T000322,563.3,7.4,0.36,9.23,1961,35.3
senate,NH,R,No,1961,M001100,563.3,7.4,0.36,9.23,1961,33.3
senate,MA,D,No,1961,K000105,563.3,7.4,0.36,9.23,1961,28.9
house,CA,D,No,1963,B001104,638.6,7.4,0.35,9.39,1963,66
house,OH,R,No,1963,R000206,638.6,7.4,0.35,9.39,1963,64.3
house,TN,R,No,1963,B000064,638.6,7.4,0.35,9.39,1963,61.1
house,MI,D,No,1963,S000775,638.6,7.4,0.35,9.39,1963,57.5
house,NJ,D,No,1963,P000106,638.6,7.4,0.35,9.39,1963,57.4
house,PA,R,No,1963,J000115,638.6,7.4,0.35,9.39,1963,56.7
house,KS,R,No,1963,S000472,638.6,7.4,0.35,9.39,1963,56.7
house,IL,R,No,1963,M000558,638.6,7.4,0.35,9.39,1963,55.5
house,CA,D,No,1963,H000367,638.6,7.4,0.35,9.39,1963,55.4
house,IL,R,No,1963,M000340,638.6,7.4,0.35,9.39,1963,54.9
house,MD,D,No,1963,L000413,638.6,7.4,0.35,9.39,1963,54.1
house,TX,D,No,1963,P000426,638.6,7.4,0.35,9.39,1963,51.9
house,GA,D,No,1963,T000436,638.6,7.4,0.35,9.39,1963,51.5
house,SC,D,No,1963,G000144,638.6,7.4,0.35,9.39,1963,50.6
house,IL,R,No,1963,R000143,638.6,7.4,0.35,9.39,1963,49.3
house,TX,D,No,1963,P000328,638.6,7.4,0.35,9.39,1963,49.2
house,CA,R,No,1963,C000476,638.6,7.4,0.35,9.39,1963,49
house,UT,R,No,1963,L000382,638.6,7.4,0.35,9.39,1963,49
house,FL,R,No,1963,G000531,638.6,7.4,0.35,9.39,1963,49
house,CA,D,No,1963,H000164,638.6,7.4,0.35,9.39,1963,48.6
house,CA,D,No,1963,V000024,638.6,7.4,0.35,9.39,1963,48.5
house,MD,R,No,1963,M001021,638.6,7.4,0.35,9.39,1963,48.3
house,CT,D,No,1963,S000769,638.6,7.4,0.35,9.39,1963,48.3
house,MI,R,No,1963,H001011,638.6,7.4,0.35,9.39,1963,48.2
house,CA,D,No,1963,E000064,638.6,7.4,0.35,9.39,1963,48
house,TN,R,No,1963,Q000013,638.6,7.4,0.35,9.39,1963,47
house,CA,D,No,1963,R000485,638.6,7.4,0.35,9.39,1963,46.9
house,NJ,D,No,1963,M000796,638.6,7.4,0.35,9.39,1963,46.4
house,HI,D,No,1963,M000250,638.6,7.4,0.35,9.39,1963,46.3
house,OH,R,No,1963,A000011,638.6,7.4,0.35,9.39,1963,46.1
house,CA,D,No,1963,W000571,638.6,7.4,0.35,9.39,1963,45.9
house,OH,R,No,1963,T000010,638.6,7.4,0.35,9.39,1963,45.9
house,NH,R,No,1963,W000782,638.6,7.4,0.35,9.39,1963,45.8
house,OR,R,No,1963,W000778,638.6,7.4,0.35,9.39,1963,45.6
house,NY,R,No,1963,G000504,638.6,7.4,0.35,9.39,1963,43.8
house,NY,R,No,1963,H000797,638.6,7.4,0.35,9.39,1963,43.1
house,FL,D,No,1963,G000153,638.6,7.4,0.35,9.39,1963,43
house,CA,R,No,1963,T000022,638.6,7.4,0.35,9.39,1963,42.9
house,CA,D,No,1963,B000918,638.6,7.4,0.35,9.39,1963,42.8
house,NH,R,No,1963,C000512,638.6,7.4,0.35,9.39,1963,42.6
house,PA,R,No,1963,W000226,638.6,7.4,0.35,9.39,1963,42.3
house,OR,D,No,1963,D000537,638.6,7.4,0.35,9.39,1963,42.1
house,ID,D,No,1963,W000362,638.6,7.4,0.35,9.39,1963,42.1
house,MD,D,No,1963,S000401,638.6,7.4,0.35,9.39,1963,41.6
house,AZ,D,No,1963,S000243,638.6,7.4,0.35,9.39,1963,41.1
house,HI,D,No,1963,G000192,638.6,7.4,0.35,9.39,1963,40.7
house,CO,R,No,1963,B000893,638.6,7.4,0.35,9.39,1963,40.5
house,SC,D,No,1963,W000197,638.6,7.4,0.35,9.39,1963,40.4
house,MO,D,No,1963,H000965,638.6,7.4,0.35,9.39,1963,40.1
house,CA,R,No,1963,C000475,638.6,7.4,0.35,9.39,1963,39.7
house,LA,D,No,1963,L000417,638.6,7.4,0.35,9.39,1963,39.7
house,CT,D,No,1963,G000348,638.6,7.4,0.35,9.39,1963,39.6
house,MN,D,No,1963,F000350,638.6,7.4,0.35,9.39,1963,38.9
house,NY,R,No,1963,W000780,638.6,7.4,0.35,9.39,1963,38.6
house,CA,R,No,1963,M000197,638.6,7.4,0.35,9.39,1963,38.1
house,NY,R,No,1963,R000150,638.6,7.4,0.35,9.39,1963,37.5
house,PA,D,No,1963,R000423,638.6,7.4,0.35,9.39,1963,37.2
house,ND,R,No,1963,A000208,638.6,7.4,0.35,9.39,1963,36.6
house,CA,D,No,1963,B001156,638.6,7.4,0.35,9.39,1963,36.6
house,CA,D,No,1963,L000221,638.6,7.4,0.35,9.39,1963,36.5
house,NY,D,No,1963,M001098,638.6,7.4,0.35,9.39,1963,36.4
house,VA,D,No,1963,M000148,638.6,7.4,0.35,9.39,1963,36.4
house,UT,R,No,1963,B001155,638.6,7.4,0.35,9.39,1963,36.2
house,TN,D,No,1963,F000424,638.6,7.4,0.35,9.39,1963,36
house,CA,D,No,1963,C000067,638.6,7.4,0.35,9.39,1963,35.4
house,NC,R,No,1963,B000966,638.6,7.4,0.35,9.39,1963,35.4
house,GA,D,No,1963,W000290,638.6,7.4,0.35,9.39,1963,35.1
house,KY,R,No,1963,S000669,638.6,7.4,0.35,9.39,1963,35
house,WA,R,No,1963,S000928,638.6,7.4,0.35,9.39,1963,32.7
house,MN,D,No,1963,O000084,638.6,7.4,0.35,9.39,1963,32.3
house,TN,R,No,1963,B000851,638.6,7.4,0.35,9.39,1963,32.1
house,PA,R,No,1963,M000399,638.6,7.4,0.35,9.39,1963,31.3
house,IL,R,No,1963,R000508,638.6,7.4,0.35,9.39,1963,30.5
