chamber,state,party,incumbent,termstart,age,bioguide
house,KY,D,Yes,1961,86.0,S000717
house,MI,R,Yes,1961,85.3,H000683
house,IL,D,Yes,1961,82.7,O000016
house,MO,D,Yes,1961,81.7,C000117
house,NY,R,Yes,1961,80.7,T000001
house,TX,D,Yes,1961,79.0,R000082
house,IL,D,Yes,1961,78.7,O000053
house,IL,R,Yes,1961,78.5,M000224
house,VA,D,Yes,1961,77.9,S000554
house,GA,D,Yes,1961,77.1,V000105
house,MA,R,Yes,1961,76.2,M000191
house,CA,D,Yes,1961,76.0,S000335
house,NJ,R,Yes,1961,76.0,A000227
house,AL,D,Yes,1961,75.9,B000725
house,OH,R,Yes,1961,75.8,B000607
house,IL,D,Yes,1961,74.7,D000158
house,WV,D,Yes,1961,74.5,B000035
house,NY,R,Yes,1961,74.3,R000077
house,OH,D,Yes,1961,74.1,K000244
house,MI,D,Yes,1961,74.1,R000001
house,CA,D,Yes,1961,73.5,D000481
house,NY,D,Yes,1961,72.7,C000264
house,CA,R,Yes,1961,72.1,H000568
house,PA,R,Yes,1961,71.4,F000075
house,TN,R,Yes,1961,71.0,R000108
house,MS,D,Yes,1961,70.9,C000645
house,NY,D,Yes,1961,70.5,B001024
house,TN,D,Yes,1961,70.5,F000353
house,PA,R,Yes,1961,70.1,M001077
house,CA,D,Yes,1961,70.0,M000727
house,NC,D,Yes,1961,69.6,B000621
house,MA,D,Yes,1961,69.0,M000364
house,IN,D,Yes,1961,68.9,M000039
house,VA,D,Yes,1961,68.9,G000091
house,IL,R,Yes,1961,68.3,C000389
house,TN,D,Yes,1961,68.3,L000446
house,IA,R,Yes,1961,68.0,J000100
house,PA,R,Yes,1961,67.9,G000102
house,CA,R,Yes,1961,67.7,Y000060
house,NY,R,Yes,1961,67.7,K000170
house,SC,D,No,1961,67.5,R000259
house,OH,R,Yes,1961,67.5,B000909
house,TX,D,Yes,1961,67.4,P000103
house,MA,R,Yes,1961,67.3,C001011
house,PA,D,Yes,1961,67.0,H000717
house,AR,D,Yes,1961,66.9,T000373
house,PA,D,Yes,1961,66.6,W000108
house,NY,R,Yes,1961,66.5,S000764
house,TN,D,Yes,1961,66.4,M001114
house,PA,D,Yes,1961,66.1,G000368
house,CA,R,Yes,1961,66.0,M000414
house,SC,D,Yes,1961,65.9,R000260
house,IA,R,Yes,1961,65.8,H000678
house,GA,D,Yes,1961,65.6,D000109
house,WV,D,Yes,1961,65.6,K000040
house,IL,R,Yes,1961,65.3,A000216
house,IL,D,Yes,1961,64.9,K000273
house,CO,D,Yes,1961,64.8,A000225
house,NY,R,Yes,1961,64.5,O000121
house,TX,D,Yes,1961,64.4,T000198
house,WY,R,No,1961,64.4,H000278
house,PA,D,Yes,1961,64.4,B000178
house,GA,D,Yes,1961,64.4,F000283
house,AR,D,Yes,1961,64.3,N000137
house,PA,R,No,1961,64.3,G000290
house,VA,D,Yes,1961,64.3,T000395
house,IN,D,Yes,1961,64.2,D000260
house,MN,R,Yes,1961,63.9,A000179
house,AL,D,Yes,1961,63.5,G000381
house,NC,D,Yes,1961,63.4,C000736
house,CO,R,Yes,1961,63.4,C000346
house,PA,R,Yes,1961,63.4,M000770
house,TN,D,Yes,1961,63.1,D000094
house,LA,D,Yes,1961,63.0,B000884
house,CA,D,Yes,1961,63.0,K000196
house,PA,D,Yes,1961,62.9,R000187
house,OH,R,No,1961,62.7,M000927
house,SC,D,Yes,1961,62.7,M000568
house,TX,D,Yes,1961,62.7,T000156
house,MD,D,Yes,1961,62.7,F000384
house,PA,R,Yes,1961,62.6,D000004
house,MA,D,Yes,1961,62.6,P000303
house,MA,D,Yes,1961,62.5,L000065
house,PA,R,No,1961,62.5,K000341
house,PA,D,Yes,1961,62.4,N000113
house,GA,D,Yes,1961,62.4,P000349
house,MN,R,Yes,1961,62.3,J000278
house,WA,R,Yes,1961,62.2,H000786
house,TN,R,No,1961,62.2,R000109
house,PA,R,Yes,1961,62.0,V000069
house,FL,D,Yes,1961,62.0,H000041
house,MI,R,Yes,1961,62.0,K000298
