Year,GDP in billions of current dollars
1960,5.433e+11
1961,5.633e+11
1962,6.051e+11
1963,6.386e+11
1964,6.858e+11
1965,7.437e+11
1966,8.15e+11
1967,8.617e+11
1968,9.425e+11
1969,1.0199e+12
1970,1.0759e+12
1971,1.1678e+12
1972,1.2824e+12
1973,1.4285e+12
1974,1.5488e+12
1975,1.6889e+12
1976,1.8776e+12
1977,2.086e+12
1978,2.3566e+12
1979,2.6321e+12
1980,2.8625e+12
1981,3.211e+12
1982,3.345e+12
1983,3.6381e+12
1984,4.0407e+12
1985,4.3467e+12
1986,4.5902e+12
1987,4.8702e+12
1988,5.2526e+12
1989,5.6577e+12
1990,5.9796e+12
1991,6.174e+12
1992,6.5393e+12
1993,6.8787e+12
1994,7.3088e+12
1995,7.6641e+12
1996,8.1002e+12
1997,8.6085e+12
1998,9.0892e+12
1999,9.6606e+12
2000,1.02848e+13
2001,1.06218e+13
2002,1.09775e+13
2003,1.15107e+13
2004,1.22749e+13
2005,1.30937e+13
2006,1.38559e+13
2007,1.44776e+13
2008,1.47186e+13
2009,1.44187e+13
2010,1.49644e+13
2011,1.55179e+13
2012,1.61553e+13
2013,1.66915e+13
