year,percent of population 65 and older
1960,9.15
1961,9.23
1962,9.31
1963,9.39
1964,9.45
1965,9.49
1966,9.54
1967,9.58
1968,9.62
1969,9.67
1970,9.74
1971,9.88
1972,10.02
1973,10.17
1974,10.33
1975,10.47
1976,10.65
1977,10.82
1978,10.99
1979,11.18
1980,11.36
1981,11.5
1982,11.62
1983,11.74
1984,11.86
1985,11.99
1986,12.11
1987,12.22
1988,12.34
1989,12.44
1990,12.52
1991,12.57
1992,12.61
1993,12.62
1994,12.62
1995,12.59
1996,12.55
1997,12.49
1998,12.43
1999,12.37
2000,12.32
2001,12.3
2002,12.28
2003,12.28
2004,12.29
2005,12.32
2006,12.39
2007,12.49
2008,12.61
2009,12.79
2010,13.01
2011,13.29
2012,13.62
2013,14.0
