Year,Annual GPD Percent Change
1930,-16.0
1931,-23.1
1932,-4.0
1933,16.9
1934,11.1
1935,14.3
1936,9.6
1937,-6.1
1938,7.0
1939,10.1
1940,25.7
1941,28.3
1942,22.4
1943,10.5
1944,1.6
1945,-0.2
1946,9.7
1947,9.9
1948,-0.7
1949,10.0
1950,15.7
1951,5.9
1952,6.0
1953,0.4
1954,9.0
1955,5.6
1956,5.5
1957,1.5
1958,8.4
1959,4.0
1960,3.7
1961,7.4
1962,5.5
1963,7.4
1964,8.4
1965,9.6
1966,5.7
1967,9.4
1968,8.2
1969,5.5
1970,8.5
1971,9.8
1972,11.4
1973,8.4
1974,9.0
1975,11.2
1976,11.1
1977,13.0
1978,11.7
1979,8.8
1980,12.2
1981,4.2
1982,8.8
1983,11.1
1984,7.6
1985,5.6
1986,6.1
1987,7.9
1988,7.7
1989,5.7
1990,3.3
1991,5.9
1992,5.2
1993,6.3
1994,4.9
1995,5.7
1996,6.3
1997,5.6
1998,6.3
1999,6.5
2000,3.3
2001,3.3
2002,4.9
2003,6.6
2004,6.7
2005,5.8
2006,4.5
2007,1.7
2008,-2.0
2009,3.8
2010,3.7
2011,4.1
2012,3.3
2013,4.2
2014,3.7
2015,2.9
