chamber,state,party,incumbent,termstart,age,GDP,Annual GPD Percent Change,percent of working age population 25-64,percent of population 65 and older,Unemployment,growth percent
house,KY,D,Yes,1961,86.0,563.3,7.4,0.36,9.23,6.7,1.67
house,MI,R,Yes,1961,85.3,563.3,7.4,0.36,9.23,6.7,1.67
house,IL,D,Yes,1961,82.7,563.3,7.4,0.36,9.23,6.7,1.67
house,MO,D,Yes,1961,81.7,563.3,7.4,0.36,9.23,6.7,1.67
house,NY,R,Yes,1961,80.7,563.3,7.4,0.36,9.23,6.7,1.67
house,TX,D,Yes,1961,79.0,563.3,7.4,0.36,9.23,6.7,1.67
house,IL,D,Yes,1961,78.7,563.3,7.4,0.36,9.23,6.7,1.67
house,IL,R,Yes,1961,78.5,563.3,7.4,0.36,9.23,6.7,1.67
house,VA,D,Yes,1961,77.9,563.3,7.4,0.36,9.23,6.7,1.67
house,GA,D,Yes,1961,77.1,563.3,7.4,0.36,9.23,6.7,1.67
house,MA,R,Yes,1961,76.2,563.3,7.4,0.36,9.23,6.7,1.67
house,CA,D,Yes,1961,76.0,563.3,7.4,0.36,9.23,6.7,1.67
house,NJ,R,Yes,1961,76.0,563.3,7.4,0.36,9.23,6.7,1.67
house,AL,D,Yes,1961,75.9,563.3,7.4,0.36,9.23,6.7,1.67
house,OH,R,Yes,1961,75.8,563.3,7.4,0.36,9.23,6.7,1.67
house,IL,D,Yes,1961,74.7,563.3,7.4,0.36,9.23,6.7,1.67
house,WV,D,Yes,1961,74.5,563.3,7.4,0.36,9.23,6.7,1.67
house,NY,R,Yes,1961,74.3,563.3,7.4,0.36,9.23,6.7,1.67
house,OH,D,Yes,1961,74.1,563.3,7.4,0.36,9.23,6.7,1.67
house,MI,D,Yes,1961,74.1,563.3,7.4,0.36,9.23,6.7,1.67
house,CA,D,Yes,1961,73.5,563.3,7.4,0.36,9.23,6.7,1.67
house,NY,D,Yes,1961,72.7,563.3,7.4,0.36,9.23,6.7,1.67
house,CA,R,Yes,1961,72.1,563.3,7.4,0.36,9.23,6.7,1.67
house,PA,R,Yes,1961,71.4,563.3,7.4,0.36,9.23,6.7,1.67
house,TN,R,Yes,1961,71.0,563.3,7.4,0.36,9.23,6.7,1.67
house,MS,D,Yes,1961,70.9,563.3,7.4,0.36,9.23,6.7,1.67
house,NY,D,Yes,1961,70.5,563.3,7.4,0.36,9.23,6.7,1.67
house,TN,D,Yes,1961,70.5,563.3,7.4,0.36,9.23,6.7,1.67
house,PA,R,Yes,1961,70.1,563.3,7.4,0.36,9.23,6.7,1.67
house,CA,D,Yes,1961,70.0,563.3,7.4,0.36,9.23,6.7,1.67
house,NC,D,Yes,1961,69.6,563.3,7.4,0.36,9.23,6.7,1.67
house,MA,D,Yes,1961,69.0,563.3,7.4,0.36,9.23,6.7,1.67
house,IN,D,Yes,1961,68.9,563.3,7.4,0.36,9.23,6.7,1.67
house,VA,D,Yes,1961,68.9,563.3,7.4,0.36,9.23,6.7,1.67
house,IL,R,Yes,1961,68.3,563.3,7.4,0.36,9.23,6.7,1.67
house,TN,D,Yes,1961,68.3,563.3,7.4,0.36,9.23,6.7,1.67
house,IA,R,Yes,1961,68.0,563.3,7.4,0.36,9.23,6.7,1.67
house,PA,R,Yes,1961,67.9,563.3,7.4,0.36,9.23,6.7,1.67
house,CA,R,Yes,1961,67.7,563.3,7.4,0.36,9.23,6.7,1.67
house,NY,R,Yes,1961,67.7,563.3,7.4,0.36,9.23,6.7,1.67
house,SC,D,No,1961,67.5,563.3,7.4,0.36,9.23,6.7,1.67
house,OH,R,Yes,1961,67.5,563.3,7.4,0.36,9.23,6.7,1.67
house,TX,D,Yes,1961,67.4,563.3,7.4,0.36,9.23,6.7,1.67
house,MA,R,Yes,1961,67.3,563.3,7.4,0.36,9.23,6.7,1.67
house,PA,D,Yes,1961,67.0,563.3,7.4,0.36,9.23,6.7,1.67
house,AR,D,Yes,1961,66.9,563.3,7.4,0.36,9.23,6.7,1.67
house,PA,D,Yes,1961,66.6,563.3,7.4,0.36,9.23,6.7,1.67
house,NY,R,Yes,1961,66.5,563.3,7.4,0.36,9.23,6.7,1.67
house,TN,D,Yes,1961,66.4,563.3,7.4,0.36,9.23,6.7,1.67
house,PA,D,Yes,1961,66.1,563.3,7.4,0.36,9.23,6.7,1.67
house,CA,R,Yes,1961,66.0,563.3,7.4,0.36,9.23,6.7,1.67
house,SC,D,Yes,1961,65.9,563.3,7.4,0.36,9.23,6.7,1.67
house,IA,R,Yes,1961,65.8,563.3,7.4,0.36,9.23,6.7,1.67
house,GA,D,Yes,1961,65.6,563.3,7.4,0.36,9.23,6.7,1.67
house,WV,D,Yes,1961,65.6,563.3,7.4,0.36,9.23,6.7,1.67
house,IL,R,Yes,1961,65.3,563.3,7.4,0.36,9.23,6.7,1.67
house,IL,D,Yes,1961,64.9,563.3,7.4,0.36,9.23,6.7,1.67
house,CO,D,Yes,1961,64.8,563.3,7.4,0.36,9.23,6.7,1.67
house,NY,R,Yes,1961,64.5,563.3,7.4,0.36,9.23,6.7,1.67
house,TX,D,Yes,1961,64.4,563.3,7.4,0.36,9.23,6.7,1.67
house,WY,R,No,1961,64.4,563.3,7.4,0.36,9.23,6.7,1.67
house,PA,D,Yes,1961,64.4,563.3,7.4,0.36,9.23,6.7,1.67
house,GA,D,Yes,1961,64.4,563.3,7.4,0.36,9.23,6.7,1.67
house,AR,D,Yes,1961,64.3,563.3,7.4,0.36,9.23,6.7,1.67
house,PA,R,No,1961,64.3,563.3,7.4,0.36,9.23,6.7,1.67
