chamber,state,party,incumbent,termstart,age,GDP,Annual GPD Percent Change,working age,65 and Older,Unemployment,growth percent
house,SC,D,No,1961,67.5,563.3,7.4,0.36,9.23,6.7,1.67
house,WY,R,No,1961,64.4,563.3,7.4,0.36,9.23,6.7,1.67
house,PA,R,No,1961,64.3,563.3,7.4,0.36,9.23,6.7,1.67
house,OH,R,No,1961,62.7,563.3,7.4,0.36,9.23,6.7,1.67
house,PA,R,No,1961,62.5,563.3,7.4,0.36,9.23,6.7,1.67
house,TN,R,No,1961,62.2,563.3,7.4,0.36,9.23,6.7,1.67
house,OR,R,No,1961,61.9,563.3,7.4,0.36,9.23,6.7,1.67
house,AR,D,No,1961,59.8,563.3,7.4,0.36,9.23,6.7,1.67
house,IN,R,No,1961,59.4,563.3,7.4,0.36,9.23,6.7,1.67
house,NY,R,No,1961,56.6,563.3,7.4,0.36,9.23,6.7,1.67
house,IL,D,No,1961,55.6,563.3,7.4,0.36,9.23,6.7,1.67
house,WI,R,No,1961,55.2,563.3,7.4,0.36,9.23,6.7,1.67
house,OK,D,No,1961,54.9,563.3,7.4,0.36,9.23,6.7,1.67
house,ND,R,No,1961,54.8,563.3,7.4,0.36,9.23,6.7,1.67
house,UT,D,No,1961,54.8,563.3,7.4,0.36,9.23,6.7,1.67
house,IN,R,No,1961,54.7,563.3,7.4,0.36,9.23,6.7,1.67
house,OH,R,No,1961,54.7,563.3,7.4,0.36,9.23,6.7,1.67
house,SD,R,No,1961,54.3,563.3,7.4,0.36,9.23,6.7,1.67
house,NE,R,No,1961,53.5,563.3,7.4,0.36,9.23,6.7,1.67
house,CT,R,No,1961,52.6,563.3,7.4,0.36,9.23,6.7,1.67
house,MO,R,No,1961,50.3,563.3,7.4,0.36,9.23,6.7,1.67
house,MI,D,No,1961,49.9,563.3,7.4,0.36,9.23,6.7,1.67
house,KS,R,No,1961,48.5,563.3,7.4,0.36,9.23,6.7,1.67
house,NE,R,No,1961,48.4,563.3,7.4,0.36,9.23,6.7,1.67
house,TX,D,No,1961,47.8,563.3,7.4,0.36,9.23,6.7,1.67
house,VT,R,No,1961,47.4,563.3,7.4,0.36,9.23,6.7,1.67
house,GA,D,No,1961,47.4,563.3,7.4,0.36,9.23,6.7,1.67
house,WI,R,No,1961,47.2,563.3,7.4,0.36,9.23,6.7,1.67
house,CA,R,No,1961,46.3,563.3,7.4,0.36,9.23,6.7,1.67
house,CO,R,No,1961,45.5,563.3,7.4,0.36,9.23,6.7,1.67
house,NJ,D,No,1961,44.9,563.3,7.4,0.36,9.23,6.7,1.67
house,TX,D,No,1961,44.7,563.3,7.4,0.36,9.23,6.7,1.67
house,GA,D,No,1961,44.6,563.3,7.4,0.36,9.23,6.7,1.67
house,GA,D,No,1961,44.3,563.3,7.4,0.36,9.23,6.7,1.67
house,MT,D,No,1961,44.0,563.3,7.4,0.36,9.23,6.7,1.67
house,PA,R,No,1961,43.5,563.3,7.4,0.36,9.23,6.7,1.67
