year,percent of working age population 25-64
1955-01-01,64242750.0000000
1956-01-01,64654500.0000000
1957-01-01,65061083.3333333
1958-01-01,65422916.6666667
1959-01-01,65613916.6666667
1960-01-01,66037083.3333333
1961-01-01,66311583.3333333
1962-01-01,66219000.0000000
1963-01-01,66495250.0000000
1964-01-01,66761250.0000000
1965-01-01,66979583.3333333
1966-01-01,67101250.0000000
1967-01-01,67629750.0000000
1968-01-01,68483833.3333334
1969-01-01,69161833.3333333
1970-01-01,69984833.3333333
1971-01-01,70858083.3333333
1972-01-01,72439500.0000000
1973-01-01,73892583.3333334
1974-01-01,75481916.6666667
1975-01-01,76769666.6666667
1976-01-01,78158166.6666667
1977-01-01,79610416.6666666
1978-01-01,81166916.6666666
1979-01-01,82875333.3333333
1980-01-01,84697166.6666666
1981-01-01,86489666.6666666
1982-01-01,88366833.3333333
1983-01-01,90245583.3333334
1984-01-01,92474916.6666667
1985-01-01,94466000.0000000
1986-01-01,97013666.6666667
1987-01-01,99233750.0000000
1988-01-01,101398583.3333330
1989-01-01,103565250.0000000
1990-01-01,105776583.3333330
1991-01-01,107512833.3333330
1992-01-01,109335750.0000000
1993-01-01,111053250.0000000
1994-01-01,112617666.6666670
1995-01-01,114025833.3333330
1996-01-01,115506083.3333330
1997-01-01,116832416.6666670
1998-01-01,117449500.0000000
1999-01-01,118198166.6666670
2000-01-01,120656416.6666670
2001-01-01,121603916.6666670
2002-01-01,122076666.6666670
2003-01-01,123289083.3333330
2004-01-01,123409916.6666670
2005-01-01,124175333.3333330
2006-01-01,124883916.6666670
2007-01-01,125696500.0000000
2008-01-01,125651750.0000000
2009-01-01,125564833.3333330
2010-01-01,125290250.0000000
2011-01-01,124704333.3333330
2012-01-01,124314250.0000000
2013-01-01,124406333.3333330
2014-01-01,124510583.3333330
